#,Name,length,height,wingspan
335,Day'Ron SharpeBKN | C,3,"6'9""","7'0"""
336,Blake GriffinBKN | PF,2.75,"6'8.5""","6'11.25"""
337,Elijah HughesUTA | SF,2.75,"6'4.75""","6'7.5"""
338,Isaiah HartensteinLAC | C,2.75,"6'11.5""","7'2.25"""
339,Landry ShametPHX | SG,2.75,"6'4""","6'6.75"""
340,Malik MonkLAL | SG,2.75,"6'2.25""","6'5"""
341,Markus HowardDEN | SG,2.75,"5'9.5""","6'0.25"""
342,Mike MuscalaOKC | C,2.75,"6'10.25""","7'1"""
343,Monte MorrisDEN | PG,2.75,"6'1.25""","6'4"""
344,Patty MillsBKN | PG,2.75,"5'11.25""","6'2"""
345,Zach CollinsSAS | C,2.75,"6'10.25""","7'1"""
346,Cole AnthonyORL | PG,2.5,"6'2""","6'4.5"""
347,Devon DotsonCHI | PG,2.5,"6'0.5""","6'3"""
348,Donte DiVincenzoMIL | SG,2.5,"6'3.5""","6'6"""
349,Jakob PoeltlSAS | C,2.5,"7'0.25""","7'2.75"""
350,Joe InglesUTA | SF,2.5,"6'7.75""","6'10.25"""
351,Jonathan IsaacORL | PF,2.5,"6'10.5""","7'1"""
352,Josh JacksonDET | SF,2.5,"6'7.5""","6'10"""
353,Jusuf NurkicPOR | C,2.5,"6'11.5""","7'2"""
354,Max StrusMIA | SG,2.5,"6'5""","6'7.5"""
355,Michael Carter-WilliamsORL | PG,2.5,"6'4.75""","6'7.25"""
356,Tim Hardaway Jr.DAL | SG,2.5,"6'4.5""","6'7"""
357,Trae YoungATL | PG,2.5,"6'0.5""","6'3"""
358,Willy HernangomezNOP | C,2.5,"6'10.5""","7'1"""
359,Alperen SengunHOU | C,2.5,"6'10""","7'0.5"""
360,Franz WagnerORL | SF,2.5,"6'9""","6'11.5"""
361,Didi LouzadaNOP | SG,2.5,"6'5""","6'7.5"""
362,Sam HauserBOS | PF,2.5,"6'6.75""","6'9.25"""
363,Kyle LowryMIA | PG,2.25,"5'11.75""","6'2"""
364,Michael Porter Jr.DEN | PF,2.25,"6'9.75""","7'0"""
365,Wayne EllingtonLAL | SG,2.25,"6'4.25""","6'6.5"""
366,Yuta WatanabeTOR | SF,2.25,"6'7.75""","6'10"""
367,Alex CarusoCHI | PG,2,"6'4""","6'6"""
368,Danuel House Jr.HOU | SF,2,"6'6""","6'8"""
369,Drew EubanksSAS | PF,2,"6'9""","6'11"""
370,Fred VanVleetTOR | PG,2,"6'0""","6'2"""
371,Jaden McDanielsMIN | SF,2,"6'9""","6'11"""
372,Kyrie IrvingBKN | PG,2,"6'2""","6'4"""
373,LaMelo BallCHA | PG,2,"6'6""","6'8"""
374,Malachi FlynnTOR | PG,2,"6'1""","6'3"""
375,Jalen SuggsORL | PG,2,"6'3.5""","6'5.5"""
376,Sam DekkerTOR | PF,2,"6'9""","6'11"""
377,Ziaire WilliamsMEM | SF,2,"6'8.25""","6'10.25"""
378,Jeremiah Robinson-EarlOKC | SF,2,"6'7.75""","6'9.75"""
379,CJ EllebyPOR | SF,1.75,"6'5.5""","6'7.25"""
380,Jared ButlerUTA | SG,1.75,"6'2.25""","6'4"""
381,Alize JohnsonCHI | PF,1.5,"6'7.25""","6'8.75"""
382,Coby WhiteCHI | PG,1.5,"6'3.5""","6'5"""
383,Jimmy ButlerMIA | SG,1.5,"6'6""","6'7.5"""
384,Marvin Bagley IIISAC | PF,1.5,"6'10.5""","7'0"""
385,Maxi KleberDAL | PF,1.5,"6'9.25""","6'10.75"""
386,Moritz WagnerORL | C,1.5,"6'10.5""","7'0"""
387,Raul NetoWAS | PG,1.5,"6'0.5""","6'2"""
388,Stephen CurryGSW | PG,1.5,"6'2""","6'3.5"""
389,T.J. McConnellIND | PG,1.5,"6'0.5""","6'2"""
390,Leandro BolmaroMIN | SF,1.5,"6'7""","6'8.5"""
391,Jake LaymanMIN | SF,1.25,"6'8""","6'9.25"""
